Table S1. Essentiality classification for genes of the TL data,,,,,
Gene,Insertion Index Score,Log Likelihood Ratio,Essential,Non-essential,Unclear
thrL,"0,393939394","31,43105904",0,1,0
thrA,"0,219244823","17,2007822",0,1,0
thrB,"0,265809218","21,23454858",0,1,0
thrC,"0,205905206","15,99492449",0,1,0
yaaX,"0,225589226","17,76550733",0,1,0
yaaA,"0,208494208","16,23102647",0,1,0
yaaJ,"0,238993711","18,9417935",0,1,0
talB,"0,259958071","20,74052204",0,1,0
mog,"0,239795918","19,01150555",0,1,0
satP,"0,239858907","19,01697618",0,1,0
yaaW,"0,219887955","17,25827542",0,1,0
yaaI,"0,261728395","20,89034158",0,1,0
dnaK,"0,053208138","-2,006528749",0,0,1
dnaJ,"0,224580018","17,67603387",0,1,0
insL1,"0,281221923","22,52088792",0,1,0
mokC,"0,438095238","34,75087305",0,1,0
hokC,"0,359477124","28,78295969",0,1,0
nhaA,"0,285347044","22,86170412",0,1,0
nhaR,"0,270419426","21,62153446",0,1,0
insB1,"0,357142857","28,60151715",0,1,0
insA,"0,311594203","24,99941682",0,1,0
rpsT,0,"-172,1619602",1,0,0
yaaY,"0,109589041","6,114527671",0,1,0
ribF,"0,005307856","-20,0930286",1,0,0
ileS,"0,002484913","-25,28072825",1,0,0
lspA,"0,012121212","-14,22682379",1,0,0
fkpB,"0,113333333","6,558680429",0,1,0
ispH,"0,008412198","-16,86290727",1,0,0
rihC,"0,228415301","18,01535826",0,1,0
dapB,"0,001216545","-30,08042176",1,0,0
carA,"0,17232376","12,82687806",0,1,0
carB,"0,205462446","15,95444334",0,1,0
caiF,"0,54040404","42,20290527",0,1,0
caiE,"0,248730964","19,78306978",0,1,0
caiD,"0,281170483","22,51662907",0,1,0
caiC,"0,27027027","21,60904459",0,1,0
caiB,"0,218390805","17,12434865",0,1,0
caiA,"0,186351706","14,17598126",0,1,0
caiT,"0,258745875","20,63775923",0,1,0
fixA,"0,246433204","19,58549287",0,1,0
fixB,"0,174097665","12,99976071",0,1,0
fixC,"0,177156177","13,29623455",0,1,0
fixX,"0,21875","17,15650844",0,1,0
yaaU,"0,211711712","16,52302544",0,1,0
